algorithm,parameters,count,k-nn,epsilon,largeepsilon,rel,qps,p50,p95,p99,p999,distcomps,build,candidates,indexsize,queriessize,dataset
hnswlib,"hnswlib ({'M': 24, 'efConstruction': 500}, 'efQuery': 80)",10,0.9890700000000001,0.99922,1.0,0.08938019,2756.7127564307957,0.37622452,0.47063828,0.52380794,0.5929503,0.0,1458.436765909195,10.0,826860.0,299.94419914484024,sift-128-euclidean
hnswlib,"hnswlib ({'M': 24, 'efConstruction': 500}, 'efQuery': 800)",10,1.0,1.0,1.0,0.08935408,444.14347098548683,2.6144981,3.2229543,3.4639976,3.9064903,0.0,1458.436765909195,10.0,826860.0,1861.695722252369,sift-128-euclidean
hnswlib,"hnswlib ({'M': 36, 'efConstruction': 500}, 'efQuery': 10)",10,0.80268,0.90276,1.0,0.090093076,9337.524599944789,0.108242035,0.1578331,0.19002193,0.23245952,0.0,1676.4983532428741,10.0,920336.0,98.56316737365724,sift-128-euclidean
hnswlib,"hnswlib ({'M': 36, 'efConstruction': 500}, 'efQuery': 120)",10,0.99755,0.9998900000000001,1.0,0.08935939,2962.0943667294327,0.64349174,0.8147,0.8838223,0.9706074,0.0,1676.4983532428741,10.0,920336.0,310.70448340110784,sift-128-euclidean
hnswlib,"hnswlib ({'M': 36, 'efConstruction': 500}, 'efQuery': 20)",10,0.9101000000000001,0.97378,1.0,0.08962585,-9655.382612270794,0.1604557,0.21791458,0.25153393,0.29611635,0.0,1676.4983532428741,10.0,920336.0,-95.31843915023804,sift-128-euclidean
hnswlib,"hnswlib ({'M': 36, 'efConstruction': 500}, 'efQuery': 200)",10,0.99956,1.0,1.0,0.089354835,1156.993301041933,0.9791851,1.2528896,1.3713837,1.4925215,0.0,1676.4983532428741,10.0,920336.0,795.4549081409455,sift-128-euclidean
hnswlib,"hnswlib ({'M': 36, 'efConstruction': 500}, 'efQuery': 40)",10,0.9703900000000001,0.99603,1.0,0.08942865,3882.911216921156,0.2632141,0.34070015,0.37718052,0.43368572,0.0,1676.4983532428741,10.0,920336.0,237.02215904121397,sift-128-euclidean
hnswlib,"hnswlib ({'M': 36, 'efConstruction': 500}, 'efQuery': 400)",10,0.99996,1.0,1.0,0.089354135,713.714113451287,1.7402172,2.22255,2.4109004,2.7167842,0.0,1676.4983532428741,10.0,920336.0,1289.5023128372193,sift-128-euclidean
hnswlib,"hnswlib ({'M': 36, 'efConstruction': 500}, 'efQuery': 600)",10,1.0,1.0,1.0,0.08935408,488.5100775970083,2.4077892,3.0584455,3.3221338,3.7508283,0.0,1676.4983532428741,10.0,920336.0,1883.9652285724642,sift-128-euclidean
hnswlib,"hnswlib ({'M': 36, 'efConstruction': 500}, 'efQuery': 80)",10,0.9931699999999999,0.99957,1.0,0.089369915,5875.275567432882,0.45323372,0.57935715,0.64325565,0.71789044,0.0,1676.4983532428741,10.0,920336.0,156.64558869400022,sift-128-euclidean
hnswlib,"hnswlib ({'M': 36, 'efConstruction': 500}, 'efQuery': 800)",10,1.0,1.0,1.0,0.08935408,367.0590594251624,3.1130314,3.9797068,4.3358803,4.86422,0.0,1676.4983532428741,10.0,920336.0,2507.3240296569825,sift-128-euclidean
hnswlib,"hnswlib ({'M': 48, 'efConstruction': 500}, 'efQuery': 10)",10,0.8160299999999999,0.9143700000000001,0.9999,0.09004073,43972.2724280077,0.12564659,0.18978119,0.22888184,0.28896424,0.0,1824.650969028473,10.0,1013692.0,23.05298189125061,sift-128-euclidean
hnswlib,"hnswlib ({'M': 48, 'efConstruction': 500}, 'efQuery': 120)",10,0.99799,0.99992,1.0,0.08935832,1817.361634342231,0.73862076,0.99970096,1.1210558,1.3545085,0.0,1824.650969028473,10.0,1013692.0,557.782216177845,sift-128-euclidean
hnswlib,"hnswlib ({'M': 48, 'efConstruction': 500}, 'efQuery': 20)",10,0.91853,0.9792099999999999,1.0,0.08959403,5799.433510801941,0.19526482,0.28967857,0.34928322,0.4606489,0.0,1824.650969028473,10.0,1013692.0,174.79155474615095,sift-128-euclidean
hnswlib,"hnswlib ({'M': 48, 'efConstruction': 500}, 'efQuery': 200)",10,0.9996499999999999,1.0,1.0,0.08935474,1301.2195117032861,1.0848045,1.4288663,1.5621209,1.7857661,0.0,1824.650969028473,10.0,1013692.0,779.0322777077674,sift-128-euclidean
hnswlib,"hnswlib ({'M': 48, 'efConstruction': 500}, 'efQuery': 40)",10,0.97407,0.99677,1.0,0.089417055,4236.09562499798,0.29587746,0.40197372,0.46182376,0.6723476,0.0,1824.650969028473,10.0,1013692.0,239.2986584197998,sift-128-euclidean
hnswlib,"hnswlib ({'M': 48, 'efConstruction': 500}, 'efQuery': 400)",10,0.99996,1.0,1.0,0.08935413,617.5577100746958,1.9973516,2.7508974,3.1285355,4.119639,0.0,1824.650969028473,10.0,1013692.0,1641.4530714504242,sift-128-euclidean
hnswlib,"hnswlib ({'M': 48, 'efConstruction': 500}, 'efQuery': 600)",10,1.0,1.0,1.0,0.08935408,424.4148725644536,2.6737452,3.556013,3.932027,4.707859,0.0,1824.650969028473,10.0,1013692.0,2388.4459888856886,sift-128-euclidean
hnswlib,"hnswlib ({'M': 48, 'efConstruction': 500}, 'efQuery': 80)",10,0.9943799999999999,0.9997199999999999,1.0,0.08936732,3931.4540582806603,0.51379204,0.69737434,0.8211369,0.9486685,0.0,1824.650969028473,10.0,1013692.0,257.8414970575332,sift-128-euclidean
hnswlib,"hnswlib ({'M': 48, 'efConstruction': 500}, 'efQuery': 800)",10,1.0,1.0,1.0,0.08935408,335.7509035019139,3.4160614,4.510176,4.9224157,5.4481077,0.0,1824.650969028473,10.0,1013692.0,3019.1787704131125,sift-128-euclidean
hnswlib,"hnswlib ({'M': 4, 'efConstruction': 500}, 'efQuery': 10)",10,0.33727999999999997,0.3926,0.8509,0.09674269,26822.82550375486,0.03671646,0.05722046,0.071525574,0.1022832,0.0,656.0209174156189,10.0,674864.0,25.160063763809205,sift-128-euclidean
hnswlib,"hnswlib ({'M': 4, 'efConstruction': 500}, 'efQuery': 120)",10,0.8158799999999999,0.9071,0.9993000000000001,0.09024272,5830.444502333816,0.16975403,0.21791458,0.24724007,0.29182783,0.0,656.0209174156189,10.0,674864.0,115.74829324417115,sift-128-euclidean
hnswlib,"hnswlib ({'M': 4, 'efConstruction': 500}, 'efQuery': 20)",10,0.47786999999999996,0.5576,0.96365,0.09372738,18359.03806313493,0.052928925,0.083208084,0.10943645,0.15807314,0.0,656.0209174156189,10.0,674864.0,36.75922440376282,sift-128-euclidean
hnswlib,"hnswlib ({'M': 4, 'efConstruction': 500}, 'efQuery': 200)",10,0.88171,0.9544499999999999,0.9997,0.08985789,1092408.9074098188,0.26130676,0.317347,0.35333866,0.43654698,0.0,656.0209174156189,10.0,674864.0,0.6177759952545167,sift-128-euclidean
hnswlib,"hnswlib ({'M': 4, 'efConstruction': 500}, 'efQuery': 40)",10,0.62291,0.71974,0.99387,0.091827326,12652.199238690842,0.07891655,0.11610985,0.14758343,0.19264337,0.0,656.0209174156189,10.0,674864.0,53.3396595539093,sift-128-euclidean
hnswlib,"hnswlib ({'M': 4, 'efConstruction': 500}, 'efQuery': 400)",10,0.94008,0.98519,0.9999,0.08958883,4984.371195369743,0.47516823,0.5581379,0.607023,0.6749642,0.0,656.0209174156189,10.0,674864.0,135.39601557502746,sift-128-euclidean
hnswlib,"hnswlib ({'M': 4, 'efConstruction': 500}, 'efQuery': 600)",10,0.9612399999999999,0.99291,0.9999,0.08950501,2426.8939611578144,0.68950653,0.7972836,0.8518719,0.9207751,0.0,656.0209174156189,10.0,674864.0,278.07725051078796,sift-128-euclidean
hnswlib,"hnswlib ({'M': 4, 'efConstruction': 500}, 'efQuery': 80)",10,0.7511099999999999,0.8492900000000001,0.99871,0.09069438,8190.120431346323,0.11920929,0.15903707,0.18692249,0.22363965,0.0,656.0209174156189,10.0,674864.0,82.39976513862608,sift-128-euclidean
hnswlib,"hnswlib ({'M': 4, 'efConstruction': 500}, 'efQuery': 800)",10,0.9726100000000001,0.9959300000000001,0.9999,0.08946289,1587.6553113251957,0.91814995,1.0802746,1.1606263,1.2939044,0.0,656.0209174156189,10.0,674864.0,425.069594883728,sift-128-euclidean
hnswlib,"hnswlib ({'M': 64, 'efConstruction': 500}, 'efQuery': 10)",10,0.82175,0.9191100000000001,0.9997,0.090016685,-6928.052581990879,0.120162964,0.18191338,0.21315086,0.26536012,0.0,1854.059417963028,10.0,1138684.0,-164.35845232467653,sift-128-euclidean
hnswlib,"hnswlib ({'M': 64, 'efConstruction': 500}, 'efQuery': 120)",10,0.99818,0.99993,1.0,0.089357875,2165.453097511897,0.7779598,1.0719419,1.2087846,1.3647119,0.0,1854.059417963028,10.0,1138684.0,525.8409897255898,sift-128-euclidean
hnswlib,"hnswlib ({'M': 64, 'efConstruction': 500}, 'efQuery': 20)",10,0.9218400000000001,0.9797800000000001,0.9997999999999999,0.0895981,5346.063025948068,0.19311905,0.27729267,0.32401317,0.40770298,0.0,1854.059417963028,10.0,1138684.0,212.9948701452255,sift-128-euclidean
hnswlib,"hnswlib ({'M': 64, 'efConstruction': 500}, 'efQuery': 200)",10,0.99969,1.0,1.0,0.08935462,1245.0149580940647,1.1103153,1.5003681,1.6582105,1.8873252,0.0,1854.059417963028,10.0,1138684.0,914.5946340621949,sift-128-euclidean
hnswlib,"hnswlib ({'M': 64, 'efConstruction': 500}, 'efQuery': 40)",10,0.9759399999999999,0.9971399999999999,1.0,0.08941215,28187.204850482216,0.30875206,0.42510033,0.47898525,0.6039166,0.0,1854.059417963028,10.0,1138684.0,40.39719461507798,sift-128-euclidean
hnswlib,"hnswlib ({'M': 64, 'efConstruction': 500}, 'efQuery': 400)",10,0.99997,1.0,1.0,0.08935413,597.8080307592555,2.0097494,2.717507,2.9704874,3.2916656,0.0,1854.059417963028,10.0,1138684.0,1904.7653116231918,sift-128-euclidean
hnswlib,"hnswlib ({'M': 64, 'efConstruction': 500}, 'efQuery': 600)",10,1.0,1.0,1.0,0.08935408,403.32842030814305,2.8733015,3.908026,4.3709674,5.1944337,0.0,1854.059417963028,10.0,1138684.0,2823.2178608441354,sift-128-euclidean
hnswlib,"hnswlib ({'M': 64, 'efConstruction': 500}, 'efQuery': 80)",10,0.9949,0.9997400000000001,1.0,0.08936561,3803.6894382990886,0.5297661,0.7310032,0.81897014,0.935795,0.0,1854.059417963028,10.0,1138684.0,299.3630312019348,sift-128-euclidean
hnswlib,"hnswlib ({'M': 64, 'efConstruction': 500}, 'efQuery': 800)",10,1.0,1.0,1.0,0.08935408,334.53212481182834,3.657937,4.950762,5.43362,6.1242986,0.0,1854.059417963028,10.0,1138684.0,3403.81062249403,sift-128-euclidean
hnswlib,"hnswlib ({'M': 8, 'efConstruction': 500}, 'efQuery': 10)",10,0.56918,0.65962,0.9900800000000001,0.09215498,19651.609801853603,0.051259995,0.07677078,0.0946545,0.1211171,0.0,839.7399046421051,10.0,703088.0,35.77762875862121,sift-128-euclidean
hnswlib,"hnswlib ({'M': 8, 'efConstruction': 500}, 'efQuery': 120)",10,0.9540900000000001,0.99121,1.0,0.08949208,353136.1504719086,0.26798248,0.35619736,0.4158183,0.5555176,0.0,839.7399046421051,10.0,703088.0,1.9909827953338621,sift-128-euclidean
hnswlib,"hnswlib ({'M': 8, 'efConstruction': 500}, 'efQuery': 20)",10,0.71592,0.8157400000000001,0.9994099999999999,0.090790935,13480.647641282632,0.07271767,0.10418892,0.12731552,0.16617915,0.0,839.7399046421051,10.0,703088.0,52.155357717895505,sift-128-euclidean
hnswlib,"hnswlib ({'M': 8, 'efConstruction': 500}, 'efQuery': 200)",10,0.97837,0.99735,1.0,0.08941527,2575.851137649612,0.40364265,0.4887581,0.53024524,0.5922322,0.0,839.7399046421051,10.0,703088.0,272.9536616939545,sift-128-euclidean
hnswlib,"hnswlib ({'M': 8, 'efConstruction': 500}, 'efQuery': 40)",10,0.83606,0.9229200000000001,0.9997999999999999,0.0900321,8786.922721745828,0.11110306,0.1487732,0.17786258,0.2164878,0.0,839.7399046421051,10.0,703088.0,80.01527067718504,sift-128-euclidean
hnswlib,"hnswlib ({'M': 8, 'efConstruction': 500}, 'efQuery': 400)",10,0.99347,0.9994999999999999,1.0,0.0893726,2125.96251247848,0.7405281,0.8661747,0.9260224,1.0042193,0.0,839.7399046421051,10.0,703088.0,330.7151447277069,sift-128-euclidean
hnswlib,"hnswlib ({'M': 8, 'efConstruction': 500}, 'efQuery': 600)",10,0.9967900000000001,0.9998400000000001,1.0,0.08936421,1327.5027040289287,1.0643005,1.2414575,1.3194131,1.455789,0.0,839.7399046421051,10.0,703088.0,529.6320661842346,sift-128-euclidean
hnswlib,"hnswlib ({'M': 8, 'efConstruction': 500}, 'efQuery': 80)",10,0.92132,0.97765,0.9999,0.08962682,5458.284369798641,0.1835823,0.22935867,0.25820965,0.30350685,0.0,839.7399046421051,10.0,703088.0,128.8111707572937,sift-128-euclidean
hnswlib,"hnswlib ({'M': 8, 'efConstruction': 500}, 'efQuery': 800)",10,0.998,0.9999399999999999,1.0,0.08935925,947.048345097648,1.3585091,1.5757084,1.6682194,1.8224746,0.0,839.7399046421051,10.0,703088.0,742.3992699417115,sift-128-euclidean
hnswlib,"hnswlib ({'M': 96, 'efConstruction': 500}, 'efQuery': 10)",10,0.82484,0.92239,0.9999,0.08998991,-34500.15011495104,0.13136864,0.21028519,0.24796464,0.29349467,0.0,1829.5911507606506,10.0,1388400.0,-40.24330315589905,sift-128-euclidean
hnswlib,"hnswlib ({'M': 96, 'efConstruction': 500}, 'efQuery': 120)",10,0.9983000000000001,0.9999399999999999,1.0,0.08935747,2126.1085351950896,0.74625015,1.0557294,1.19138,1.363756,0.0,1829.5911507606506,10.0,1388400.0,653.0240469932555,sift-128-euclidean
hnswlib,"hnswlib ({'M': 96, 'efConstruction': 500}, 'efQuery': 20)",10,0.9242699999999999,0.98201,1.0,0.089576244,5024.945596985922,0.19788742,0.2918362,0.33903354,0.40626875,0.0,1829.5911507606506,10.0,1388400.0,276.30149883270263,sift-128-euclidean
hnswlib,"hnswlib ({'M': 96, 'efConstruction': 500}, 'efQuery': 200)",10,0.99968,1.0,1.0,0.08935461,1205.3338912220463,1.1117458,1.552105,1.739759,1.977449,0.0,1829.5911507606506,10.0,1388400.0,1151.8799978256227,sift-128-euclidean
hnswlib,"hnswlib ({'M': 96, 'efConstruction': 500}, 'efQuery': 40)",10,0.97607,0.99712,1.0,0.089412175,15158.741431359986,0.3197193,0.45514107,0.51212543,0.60892224,0.0,1829.5911507606506,10.0,1388400.0,91.59071722984314,sift-128-euclidean
hnswlib,"hnswlib ({'M': 96, 'efConstruction': 500}, 'efQuery': 400)",10,0.99997,1.0,1.0,0.08935413,590.1284380404281,2.0062923,2.7778623,3.0908747,3.5014627,0.0,1829.5911507606506,10.0,1388400.0,2352.7081741905217,sift-128-euclidean
hnswlib,"hnswlib ({'M': 96, 'efConstruction': 500}, 'efQuery': 600)",10,1.0,1.0,1.0,0.08935408,400.1064621963667,2.9546022,4.1008115,4.4928436,5.144597,0.0,1829.5911507606506,10.0,1388400.0,3470.076420106888,sift-128-euclidean
hnswlib,"hnswlib ({'M': 96, 'efConstruction': 500}, 'efQuery': 80)",10,0.99495,0.99977,1.0,0.089365445,3443.736753371276,0.55646896,0.7982254,0.9067175,1.0075597,0.0,1829.5911507606506,10.0,1388400.0,403.1667050743103,sift-128-euclidean
hnswlib,"hnswlib ({'M': 96, 'efConstruction': 500}, 'efQuery': 800)",10,1.0,1.0,1.0,0.08935408,311.2139541546808,4.3025017,6.7072153,9.321962,11.837558,0.0,1829.5911507606506,10.0,1388400.0,4461.239547472001,sift-128-euclidean
